model,condition_key,condition,width,identity,measure,k,n,value,lo,hi
"Gemini","full","Full Information","present","true","legality","288","288","100.0","98.68","100.0"
"Gemini","full","Full Information","present","true","refusal","33","36","91.67","78.17","97.13"
"Gemini","full","Full Information","present","true","franka","108","385","28.05","23.8","32.74"
"Gemini","anon","Anonymous","present","anonymised","legality","288","288","100.0","98.68","100.0"
"Gemini","anon","Anonymous","present","anonymised","refusal","33","36","91.67","78.17","97.13"
"Gemini","anon","Anonymous","present","anonymised","franka","107","385","27.79","23.55","32.47"
"Gemini","swap","Swapped Names","present","swapped","legality","288","288","100.0","98.68","100.0"
"Gemini","swap","Swapped Names","present","swapped","refusal","35","36","97.22","85.83","99.51"
"Gemini","swap","Swapped Names","present","swapped","franka","104","383","27.15","22.94","31.82"
"Gemini","nowidth","No Width","absent","true","legality","208","288","72.22","66.78","77.08"
"Gemini","nowidth","No Width","absent","true","refusal","18","36","50.0","34.47","65.53"
"Gemini","nowidth","No Width","absent","true","franka","207","431","48.03","43.35","52.74"
"Gemini","nowidth-anon","No Width + Anon.","absent","anonymised","legality","217","288","75.35","70.06","79.97"
"Gemini","nowidth-anon","No Width + Anon.","absent","anonymised","refusal","19","36","52.78","37.01","68.01"
"Gemini","nowidth-anon","No Width + Anon.","absent","anonymised","franka","198","430","46.05","41.39","50.77"
"Gemini","nowidth-swap","No Width + Swapped","absent","swapped","legality","218","287","75.96","70.69","80.54"
"Gemini","nowidth-swap","No Width + Swapped","absent","swapped","refusal","18","36","50.0","34.47","65.53"
"Gemini","nowidth-swap","No Width + Swapped","absent","swapped","franka","196","431","45.48","40.84","50.2"
"GPT","full","Full Information","present","true","legality","276","283","97.53","94.98","98.8"
"GPT","full","Full Information","present","true","refusal","32","36","88.89","74.68","95.59"
"GPT","full","Full Information","present","true","franka","98","377","25.99","21.83","30.65"
"GPT","anon","Anonymous","present","anonymised","legality","276","280","98.57","96.38","99.44"
"GPT","anon","Anonymous","present","anonymised","refusal","34","36","94.44","81.86","98.46"
"GPT","anon","Anonymous","present","anonymised","franka","81","371","21.83","17.93","26.31"
"GPT","swap","Swapped Names","present","swapped","legality","268","275","97.45","94.84","98.76"
"GPT","swap","Swapped Names","present","swapped","refusal","33","36","91.67","78.17","97.13"
"GPT","swap","Swapped Names","present","swapped","franka","86","367","23.43","19.39","28.03"
"GPT","nowidth","No Width","absent","true","legality","206","280","73.57","68.11","78.39"
"GPT","nowidth","No Width","absent","true","refusal","19","36","52.78","37.01","68.01"
"GPT","nowidth","No Width","absent","true","franka","188","411","45.74","40.99","50.58"
"GPT","nowidth-anon","No Width + Anon.","absent","anonymised","legality","217","283","76.68","71.41","81.23"
"GPT","nowidth-anon","No Width + Anon.","absent","anonymised","refusal","18","36","50.0","34.47","65.53"
"GPT","nowidth-anon","No Width + Anon.","absent","anonymised","franka","183","421","43.47","38.81","48.24"
"GPT","nowidth-swap","No Width + Swapped","absent","swapped","legality","218","281","77.58","72.35","82.07"
"GPT","nowidth-swap","No Width + Swapped","absent","swapped","refusal","20","36","55.56","39.58","70.46"
"GPT","nowidth-swap","No Width + Swapped","absent","swapped","franka","167","407","41.03","36.36","45.87"
"Qwen","full","Full Information","present","true","legality","217","288","75.35","70.06","79.97"
"Qwen","full","Full Information","present","true","refusal","0","36","0.0","0.0","9.64"
"Qwen","full","Full Information","present","true","franka","102","486","20.99","17.6","24.83"
"Qwen","anon","Anonymous","present","anonymised","legality","221","288","76.74","71.52","81.24"
"Qwen","anon","Anonymous","present","anonymised","refusal","0","36","0.0","0.0","9.64"
"Qwen","anon","Anonymous","present","anonymised","franka","106","486","21.81","18.37","25.7"
"Qwen","swap","Swapped Names","present","swapped","legality","217","288","75.35","70.06","79.97"
"Qwen","swap","Swapped Names","present","swapped","refusal","0","36","0.0","0.0","9.64"
"Qwen","swap","Swapped Names","present","swapped","franka","103","486","21.19","17.79","25.05"
"Qwen","nowidth","No Width","absent","true","legality","221","288","76.74","71.52","81.24"
"Qwen","nowidth","No Width","absent","true","refusal","0","36","0.0","0.0","9.64"
"Qwen","nowidth","No Width","absent","true","franka","106","486","21.81","18.37","25.7"
"Qwen","nowidth-anon","No Width + Anon.","absent","anonymised","legality","209","288","72.57","67.14","77.4"
"Qwen","nowidth-anon","No Width + Anon.","absent","anonymised","refusal","0","36","0.0","0.0","9.64"
"Qwen","nowidth-anon","No Width + Anon.","absent","anonymised","franka","110","486","22.63","19.14","26.56"
"Qwen","nowidth-swap","No Width + Swapped","absent","swapped","legality","216","288","75.0","69.69","79.65"
"Qwen","nowidth-swap","No Width + Swapped","absent","swapped","refusal","0","36","0.0","0.0","9.64"
"Qwen","nowidth-swap","No Width + Swapped","absent","swapped","franka","106","486","21.81","18.37","25.7"
