model,cond,condition,width,identity,legal,scored,legality_pct,scene_pct,negctrl_legal,negctrl_scored,negctrl_pct
"Gemini","full","Full Information","present","true","288","288","100.00","100.00","90","90","100.00"
"Gemini","anon","Anonymous","present","withheld","288","288","100.00","100.00","90","90","100.00"
"Gemini","swap","Swapped Names","present","swapped","288","288","100.00","100.00","90","90","100.00"
"Gemini","nowidth","No Width","absent","true","208","288","72.22","71.88","90","90","100.00"
"Gemini","nowidth-anon","No Width + Anon.","absent","withheld","217","288","75.35","77.08","90","90","100.00"
"Gemini","nowidth-swap","No Width + Swapped","absent","swapped","218","287","75.96","75.00","90","90","100.00"
"Gemini","norules","No Rules","--","--","288","288","100.00","100.00","90","90","100.00"
"Gemini","givenset","Legal-Arm Control","--","--","96","96","100.00","100.00","30","30","100.00"
"GPT","full","Full Information","present","true","276","283","97.53","97.92","82","82","100.00"
"GPT","anon","Anonymous","present","withheld","276","280","98.57","98.95","82","82","100.00"
"GPT","swap","Swapped Names","present","swapped","268","275","97.45","95.79","83","83","100.00"
"GPT","nowidth","No Width","absent","true","206","280","73.57","71.58","81","81","100.00"
"GPT","nowidth-anon","No Width + Anon.","absent","withheld","217","283","76.68","77.89","85","85","100.00"
"GPT","nowidth-swap","No Width + Swapped","absent","swapped","218","281","77.58","78.95","78","78","100.00"
"GPT","norules","No Rules","--","--","255","268","95.15","94.68","75","75","100.00"
"GPT","givenset","Legal-Arm Control","--","--","94","94","100.00","100.00","24","24","100.00"
"Qwen","full","Full Information","present","true","217","288","75.35","77.08","69","90","76.67"
"Qwen","anon","Anonymous","present","withheld","221","288","76.74","76.04","72","90","80.00"
"Qwen","swap","Swapped Names","present","swapped","217","288","75.35","73.96","69","90","76.67"
"Qwen","nowidth","No Width","absent","true","221","288","76.74","78.12","76","90","84.44"
"Qwen","nowidth-anon","No Width + Anon.","absent","withheld","209","288","72.57","72.92","74","90","82.22"
"Qwen","nowidth-swap","No Width + Swapped","absent","swapped","216","288","75.00","76.04","71","90","78.89"
"Qwen","norules","No Rules","--","--","208","288","72.22","72.92","65","90","72.22"
"Qwen","givenset","Legal-Arm Control","--","--","92","96","95.83","95.83","29","30","96.67"
