condition,model,position_id,contrast,diff_pts
congruent,gpt,e00,small_minus_large,NA
congruent,gpt,e01,small_minus_large,NA
congruent,gpt,e03,small_minus_large,NA
congruent,gpt,e04,small_minus_large,NA
congruent,gpt,e05,small_minus_large,NA
congruent,gpt,e06,small_minus_large,NA
congruent,gpt,e07,small_minus_large,NA
congruent,gpt,e08,small_minus_large,NA
congruent,gpt,e09,small_minus_large,NA
congruent,gpt,e10,small_minus_large,NA
congruent,gpt,e11,small_minus_large,NA
congruent,gpt,e12,small_minus_large,NA
congruent,gpt,e13,small_minus_large,NA
congruent,gpt,e14,small_minus_large,NA
congruent,gpt,w00,small_minus_large,NA
congruent,gpt,w01,small_minus_large,NA
congruent,gpt,w02,small_minus_large,NA
congruent,gpt,w03,small_minus_large,NA
congruent,gpt,w04,small_minus_large,NA
congruent,gpt,w05,small_minus_large,NA
congruent,gpt,w06,small_minus_large,NA
congruent,gpt,w07,small_minus_large,NA
congruent,gpt,w08,small_minus_large,NA
congruent,gpt,w09,small_minus_large,NA
congruent,gpt,w10,small_minus_large,NA
congruent,gpt,w11,small_minus_large,NA
congruent,gpt,w12,small_minus_large,NA
congruent,gpt,w13,small_minus_large,NA
congruent,gpt,w14,small_minus_large,NA
congruent,gpt,e00,edge_minus_large,NA
congruent,gpt,e01,edge_minus_large,NA
congruent,gpt,e03,edge_minus_large,NA
congruent,gpt,e04,edge_minus_large,NA
congruent,gpt,e05,edge_minus_large,NA
congruent,gpt,e06,edge_minus_large,NA
congruent,gpt,e07,edge_minus_large,NA
congruent,gpt,e08,edge_minus_large,NA
congruent,gpt,e09,edge_minus_large,NA
congruent,gpt,e10,edge_minus_large,NA
congruent,gpt,e11,edge_minus_large,NA
congruent,gpt,e12,edge_minus_large,NA
congruent,gpt,e13,edge_minus_large,NA
congruent,gpt,e14,edge_minus_large,NA
congruent,gpt,w00,edge_minus_large,NA
congruent,gpt,w01,edge_minus_large,NA
congruent,gpt,w02,edge_minus_large,NA
congruent,gpt,w03,edge_minus_large,NA
congruent,gpt,w04,edge_minus_large,NA
congruent,gpt,w05,edge_minus_large,NA
congruent,gpt,w06,edge_minus_large,NA
congruent,gpt,w07,edge_minus_large,NA
congruent,gpt,w08,edge_minus_large,NA
congruent,gpt,w09,edge_minus_large,NA
congruent,gpt,w10,edge_minus_large,NA
congruent,gpt,w11,edge_minus_large,NA
congruent,gpt,w12,edge_minus_large,NA
congruent,gpt,w13,edge_minus_large,NA
congruent,gpt,w14,edge_minus_large,NA
congruent,gemini,e00,small_minus_large,NA
congruent,gemini,e01,small_minus_large,NA
congruent,gemini,e03,small_minus_large,NA
congruent,gemini,e04,small_minus_large,NA
congruent,gemini,e05,small_minus_large,NA
congruent,gemini,e06,small_minus_large,NA
congruent,gemini,e07,small_minus_large,NA
congruent,gemini,e08,small_minus_large,NA
congruent,gemini,e09,small_minus_large,NA
congruent,gemini,e10,small_minus_large,NA
congruent,gemini,e11,small_minus_large,NA
congruent,gemini,e12,small_minus_large,NA
congruent,gemini,e13,small_minus_large,NA
congruent,gemini,e14,small_minus_large,NA
congruent,gemini,w00,small_minus_large,NA
congruent,gemini,w01,small_minus_large,NA
congruent,gemini,w02,small_minus_large,NA
congruent,gemini,w03,small_minus_large,NA
congruent,gemini,w04,small_minus_large,NA
congruent,gemini,w05,small_minus_large,NA
congruent,gemini,w06,small_minus_large,NA
congruent,gemini,w07,small_minus_large,NA
congruent,gemini,w08,small_minus_large,NA
congruent,gemini,w09,small_minus_large,NA
congruent,gemini,w10,small_minus_large,NA
congruent,gemini,w11,small_minus_large,NA
congruent,gemini,w12,small_minus_large,NA
