position,usable,idle_ur,legal_small_face,legal_edge,legal_large_face
e00,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e01,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e02,False,ur_e,ur_e,ur_e,ur_e
e03,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e04,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e05,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e06,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e07,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e08,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e09,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e10,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e11,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e12,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e13,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
e14,True,ur_e,franka_n;ur_e,franka_n;ur_e,ur_e
w00,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w01,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w02,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w03,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w04,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w05,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w06,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w07,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w08,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w09,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w10,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w11,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w12,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w13,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
w14,True,ur_w,franka_n;ur_w,franka_n;ur_w,ur_w
