condition,model,resting_face,n_trials,n_correct,correct_pct,wilson_lo,wilson_hi
congruent,gpt_hi,small_face,96,96,100.0,96.2,100.0
congruent,gpt_hi,large_face,96,96,100.0,96.2,100.0
congruent,gemini,small_face,96,96,100.0,96.2,100.0
congruent,gemini,large_face,96,96,100.0,96.2,100.0
congruent,claude_md,small_face,96,96,100.0,96.2,100.0
congruent,claude_md,large_face,96,96,100.0,96.2,100.0
congruent_face,gpt_hi,small_face,96,87,90.6,83.1,95.0
congruent_face,gpt_hi,large_face,96,95,99.0,94.3,99.8
congruent_face,gemini,small_face,96,96,100.0,96.2,100.0
congruent_face,gemini,large_face,96,96,100.0,96.2,100.0
congruent_face,claude_md,small_face,96,48,50.0,40.2,59.8
congruent_face,claude_md,large_face,96,39,40.6,31.3,50.6
dims,gpt_hi,small_face,96,91,94.8,88.4,97.8
dims,gpt_hi,large_face,96,7,7.3,3.6,14.3
dims,gemini,small_face,96,94,97.9,92.7,99.4
dims,gemini,large_face,96,47,49.0,39.2,58.8
dims,claude_md,small_face,96,54,56.2,46.3,65.7
dims,claude_md,large_face,96,35,36.5,27.5,46.4
