role,path,rows,sha256,prompt_version,model_string,run_date
captures,out/ex2_capture_block/consults.jsonl,102,b1579d5d8d1fcb53b09c60f285a1f1a52489908badd6f504b5b664fbdba42dba,2026-08-27b,,2026-09-10
congruent,runs/ex2_q1_congruent_N0.jsonl,626,ff8833e493a292b1ca5fe0f286481916ead3d90b56b481d4dac9f5a9d247acce,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-10
congruent_face,runs/ex2_q1_congruent_face_N0.jsonl,837,853979e16f25ecb57890f9e3e72c4d07e2f5b9aca7dce3a5d48994e91c82f0b6,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-10
dims,runs/ex2_q1_dims_N0.jsonl,615,01a58e0f75577512968dbebff622aaa9e8de6b9674bfde0b7ef40bf979c66889,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-10
dims_noimage,runs/ex2_q1_dims_N0_noimage.jsonl,612,d908dda119317ab6ab5f7daa0c5fce8980356bf50e57e148827b81a6e8ea4b4d,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-10
congruent_extents,runs/ex2_q1_congruent_N0_extents.jsonl,612,f3e6701455064af28ef436fce4e51b5e0411d49be822e693de264fde852bbd3d,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-10
congruent_face_extents,runs/ex2_q1_congruent_face_N0_extents.jsonl,618,6f2f1cfb8cb188d394570b77adf06251eba5776376622d26d55f1cdb2afb7163,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-10
cue_gpt_hi_r1,runs/ex2_q1_cue2way_gpt_hi_r1.jsonl,40,d50e8e30ba11078342c32449bea75362b890cc7c75c63fa5266cd8573d45392d,2026-08-27b,gpt_hi,2026-09-10
cue_gpt_hi_r2,runs/ex2_q1_cue2way_gpt_hi_r2.jsonl,40,d4043653bd8d4f992f89ae1f279622746185f0df7bcf0af5a68c53b4a105fc1c,2026-08-27b,gpt_hi,2026-09-10
cue_gpt_hi_r3,runs/ex2_q1_cue2way_gpt_hi_r3.jsonl,40,84e8cc4365b8315c8697279aa29cbd3257d234243a55ede0b8f5e810532837a2,2026-08-27b,gpt_hi,2026-09-10
cue_gemini_r1,runs/ex2_q1_cue2way_gemini_r1.jsonl,40,0a15f4530c83ba793042faacb84ec7ba93297c5fda207c22c70e42717507a1cb,2026-08-27b,gemini,2026-09-10
cue_gemini_r2,runs/ex2_q1_cue2way_gemini_r2.jsonl,40,0a15f4530c83ba793042faacb84ec7ba93297c5fda207c22c70e42717507a1cb,2026-08-27b,gemini,2026-09-10
cue_gemini_r3,runs/ex2_q1_cue2way_gemini_r3.jsonl,40,0a15f4530c83ba793042faacb84ec7ba93297c5fda207c22c70e42717507a1cb,2026-08-27b,gemini,2026-09-10
cue_claude_md_r1,runs/ex2_q1_cue2way_claude_md_r1.jsonl,40,d8fa86b049f1d710e3f5bebee4d77e9622ccdcd44bd8a4e2dcecdadd3c82d9f4,2026-08-27b,claude_md,2026-09-10
cue_claude_md_r2,runs/ex2_q1_cue2way_claude_md_r2.jsonl,40,5c680bf3a2fcdaaa1737d99974e2d9c44da4bd4781ff6d3413f4999b8eb07776,2026-08-27b,claude_md,2026-09-10
cue_claude_md_r3,runs/ex2_q1_cue2way_claude_md_r3.jsonl,40,356beaa72edc110f8164f665455d4d554b5ca3902a2b33351254ecba8e7accdb,2026-08-27b,claude_md,2026-09-10
