condition,model,resting_face,n_trials,declines_n,decline_rate_pct,wilson_lo,wilson_hi
congruent,gpt_hi,small_face,96,0,0.0,0.0,3.8
congruent,gpt_hi,large_face,96,0,0.0,0.0,3.8
congruent,gemini,small_face,96,0,0.0,0.0,3.8
congruent,gemini,large_face,96,0,0.0,0.0,3.8
congruent,claude_md,small_face,96,0,0.0,0.0,3.8
congruent,claude_md,large_face,96,0,0.0,0.0,3.8
congruent_face,gpt_hi,small_face,96,0,0.0,0.0,3.8
congruent_face,gpt_hi,large_face,96,0,0.0,0.0,3.8
congruent_face,gemini,small_face,96,0,0.0,0.0,3.8
congruent_face,gemini,large_face,96,0,0.0,0.0,3.8
congruent_face,claude_md,small_face,96,0,0.0,0.0,3.8
congruent_face,claude_md,large_face,96,0,0.0,0.0,3.8
dims,gpt_hi,small_face,96,0,0.0,0.0,3.8
dims,gpt_hi,large_face,96,0,0.0,0.0,3.8
dims,gemini,small_face,96,0,0.0,0.0,3.8
dims,gemini,large_face,96,0,0.0,0.0,3.8
dims,claude_md,small_face,96,0,0.0,0.0,3.8
dims,claude_md,large_face,96,0,0.0,0.0,3.8
