condition,model,resting_face,n_trials,n_proposals,franka_n,franka_share_pct
conflict,gpt_hi,small_face,96,96,0,0.0
conflict,gpt_hi,large_face,96,96,96,100.0
conflict,gemini,small_face,96,96,0,0.0
conflict,gemini,large_face,96,96,96,100.0
conflict,claude_md,small_face,96,96,0,0.0
conflict,claude_md,large_face,96,96,96,100.0
conflict_face,gpt_hi,small_face,96,96,0,0.0
conflict_face,gpt_hi,large_face,96,96,86,89.6
conflict_face,gemini,small_face,96,96,0,0.0
conflict_face,gemini,large_face,96,96,96,100.0
conflict_face,claude_md,small_face,96,96,48,50.0
conflict_face,claude_md,large_face,96,96,41,42.7
