condition,model,rung,n_positions,contrast_pts,contrast_lo,contrast_hi,n_positions_delta,delta_vs_N0_pts,delta_lo,delta_hi
dims,claude_md,N0,32,-10.4,-24.3,3.5,-,-,-,-
dims,gemini,N0,32,46.9,34.5,59.3,-,-,-,-
dims,gpt_hi,N0,32,2.1,-6.2,10.3,-,-,-,-
dims,claude_md,N-A,32,-13.0,-25.9,-0.2,32,-2.6,-21.8,16.6
dims,gemini,N-A,32,96.9,92.4,101.4,32,50.0,37.6,62.4
dims,gpt_hi,N-A,32,2.1,-3.7,7.9,32,0.0,-9.3,9.3
dims,claude_md,N-C,32,0.0,0.0,0.0,32,10.4,-3.5,24.3
dims,gemini,N-C,32,100.0,100.0,100.0,32,53.1,40.7,65.5
dims,gpt_hi,N-C,32,0.0,0.0,0.0,32,-2.1,-10.3,6.2
dims,claude_md,N-order,32,9.4,-8.5,27.2,32,19.8,-4.2,43.8
dims,gemini,N-order,32,45.3,31.9,58.8,32,-1.6,-15.8,12.7
dims,gpt_hi,N-order,32,1.6,-5.4,8.5,32,-0.5,-12.5,11.4
dims,claude_md,N-D,32,1.6,-15.2,18.3,32,12.0,-10.0,33.9
dims,gemini,N-D,32,100.0,100.0,100.0,32,53.1,40.7,65.5
dims,gpt_hi,N-D,32,6.2,-8.2,20.7,32,4.2,-11.8,20.1
dims,claude_md,N-CD,32,0.0,0.0,0.0,32,10.4,-3.5,24.3
dims,gemini,N-CD,32,100.0,100.0,100.0,32,53.1,40.7,65.5
dims,gpt_hi,N-CD,32,28.1,16.5,39.7,32,26.0,10.5,41.6
conflict_face,claude_md,N0,32,7.3,-6.7,21.3,-,-,-,-
conflict_face,gemini,N0,32,-100.0,-100.0,-100.0,-,-,-,-
conflict_face,gpt_hi,N0,32,-89.6,-95.0,-84.1,-,-,-,-
conflict_face,claude_md,N-A,32,-3.1,-20.1,13.9,32,-10.4,-34.6,13.7
conflict_face,gemini,N-A,32,-98.4,-101.5,-95.4,32,1.6,-1.5,4.6
conflict_face,gpt_hi,N-A,32,-82.8,-92.3,-73.4,32,6.8,-3.8,17.3
conflict_face,claude_md,N-C,32,-70.3,-80.0,-60.6,32,-77.6,-93.9,-61.3
conflict_face,gemini,N-C,32,-100.0,-100.0,-100.0,32,0.0,0.0,0.0
conflict_face,gpt_hi,N-C,32,-89.1,-97.6,-80.6,32,0.5,-9.7,10.7
conflict_face,claude_md,N-order,32,-1.6,-21.0,17.9,32,-8.9,-33.5,15.8
conflict_face,gemini,N-order,32,-100.0,-100.0,-100.0,32,0.0,0.0,0.0
conflict_face,gpt_hi,N-order,32,-85.9,-93.9,-78.0,32,3.6,-5.8,13.1
conflict_face,claude_md,N-D,32,-9.4,-24.9,6.1,32,-16.7,-35.8,2.5
conflict_face,gemini,N-D,32,-100.0,-100.0,-100.0,32,0.0,0.0,0.0
conflict_face,gpt_hi,N-D,32,-62.5,-75.7,-49.3,32,27.1,13.0,41.1
conflict_face,claude_md,N-CD,32,-50.0,-61.6,-38.4,32,-57.3,-76.9,-37.7
conflict_face,gemini,N-CD,32,-100.0,-100.0,-100.0,32,0.0,0.0,0.0
conflict_face,gpt_hi,N-CD,32,-90.6,-98.8,-82.5,32,-1.0,-9.3,7.2
conflict,claude_md,N0,32,-100.0,-100.0,-100.0,-,-,-,-
conflict,gemini,N0,32,-100.0,-100.0,-100.0,-,-,-,-
conflict,gpt_hi,N0,32,-100.0,-100.0,-100.0,-,-,-,-
congruent,claude_md,N0,32,100.0,100.0,100.0,-,-,-,-
congruent,gemini,N0,32,100.0,100.0,100.0,-,-,-,-
congruent,gpt_hi,N0,32,100.0,100.0,100.0,-,-,-,-
congruent_face,claude_md,N0,32,-5.2,-21.6,11.2,-,-,-,-
congruent_face,gemini,N0,32,100.0,100.0,100.0,-,-,-,-
congruent_face,gpt_hi,N0,32,89.6,84.1,95.0,-,-,-,-
