condition,model,rung,n_trials,n_named,n_correct,correct_pct,wilson_lo,wilson_hi,n_face_right_opening_wrong
dims,claude_md,N-D,192,192,97,50.5,43.5,57.5,31
dims,gemini,N-D,192,192,192,100.0,98.0,100.0,0
dims,gpt_hi,N-D,192,192,109,56.8,49.7,63.6,38
dims,claude_md,N-CD,192,192,97,50.5,43.5,57.5,5
dims,gemini,N-CD,192,192,192,100.0,98.0,100.0,0
dims,gpt_hi,N-CD,192,192,127,66.1,59.2,72.5,0
conflict_face,claude_md,N-D,192,192,0,0.0,0.0,2.0,0
conflict_face,gemini,N-D,192,192,0,0.0,0.0,2.0,0
conflict_face,gpt_hi,N-D,192,192,0,0.0,0.0,2.0,0
conflict_face,claude_md,N-CD,192,192,0,0.0,0.0,2.0,0
conflict_face,gemini,N-CD,192,192,0,0.0,0.0,2.0,0
conflict_face,gpt_hi,N-CD,192,192,0,0.0,0.0,2.0,0
