rung,model,frame,n_trials,reports_small_opening_pct,says_small_face_pct,face_correct_pct
N0,gpt_hi,named,192,93.8,not asked,not asked
N0,gpt_hi,extents,192,3.6,not asked,not asked
N0,gemini,named,192,74.5,not asked,not asked
N0,gemini,extents,151,47.0,not asked,not asked
N0,claude_md,named,192,58.9,not asked,not asked
N0,claude_md,extents,0,NA,not asked,not asked
N-CD,gpt_hi,named,192,83.9,83.9,66.1
N-CD,gpt_hi,extents,128,45.3,46.1,96.1
N-CD,gemini,named,192,50.0,50.0,100.0
N-CD,gemini,extents,128,50.0,50.0,100.0
N-CD,claude_md,named,192,100.0,95.3,50.5
N-CD,claude_md,extents,128,3.9,0.0,50.0
