role,path,rows,sha256,prompt_version,model_string,run_date
captures,out/ex2_capture_block/consults.jsonl,102,b1579d5d8d1fcb53b09c60f285a1f1a52489908badd6f504b5b664fbdba42dba,2026-08-27b,,2026-08-31
dims_N0,runs/ex2_q1_dims_N0.jsonl,615,01a58e0f75577512968dbebff622aaa9e8de6b9674bfde0b7ef40bf979c66889,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
dims_N-A,runs/ex2_q3_dims_N-A.jsonl,612,35b4a968c8ccddc47b0694ea0d9f069d7080c96c48f54350a912a79726ecb02e,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
dims_N-C,runs/ex2_q3_dims_N-C.jsonl,612,67c89efceddad897ad282bd07769d8d462c22fc90c0b26a6548116c1b9f8ea30,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
dims_N-order,runs/ex2_q3_dims_N-order.jsonl,613,2fb87a1e9970326bb2cb7e3a75b11fce1d5a88c91d795188cbf90d52b22cb64d,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
dims_N-D,runs/ex2_q3_dims_N-D.jsonl,614,67d9955d92dbc38361417738a91f990c968f02e7f4798576a44919d884d79eed,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
dims_N-CD,runs/ex2_q3_dims_N-CD.jsonl,612,aaa13ffc0bb1ca18e8e5c250195454032e48251f5f3080c85f650b9e9853d102,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
conflict_face_N0,runs/ex2_q2_conflict_face_N0.jsonl,612,bf1ca02d9b596c262837e6aa36ff37b6006794395c9dfcfa21c2f96c882a0d3e,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
conflict_face_N-A,runs/ex2_q3_conflict_face_N-A.jsonl,613,0f6f6bab61fe28aaf269bc65a645f0496f7e3c80ba5ff7dae431d5b5ad06ff2b,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
conflict_face_N-C,runs/ex2_q3_conflict_face_N-C.jsonl,612,e365876eca167ba5fe5e2c8597dc5c8ab0ac319f73a7da97d6721db838c65e75,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
conflict_face_N-order,runs/ex2_q3_conflict_face_N-order.jsonl,612,4b12938d6ad090122ae2f3d788870b6a17828a1c6a67e601dba9fad7aa4c1a24,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
conflict_face_N-D,runs/ex2_q3_conflict_face_N-D.jsonl,614,afc89aafb805f0a16a5c6a25b2f65cc2af3a35719d1920210f94c084b5d9b0e1,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
conflict_face_N-CD,runs/ex2_q3_conflict_face_N-CD.jsonl,612,fd2e944482117ceeb23fad2592b19dffdcbf6cd28ca39280242ca69fb9194a9e,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
dims_N-D_noimage,runs/ex2_q3_dims_N-D_noimage.jsonl,621,b0203f55cc5fd8601efd30557fdf4bf9dd7557bae125be5eac3c475a7a834fa7,2026-08-27b,claude_md;gemini;gpt_hi,2026-08-31
