condition,model,rung,resting_face,n_trials,n_stated,n_correct,correct_pct,wilson_lo,wilson_hi
dims,claude_md,N0,small_face,96,96,54,56.2,46.3,65.7
dims,claude_md,N0,large_face,96,96,35,36.5,27.5,46.4
dims,gemini,N0,small_face,96,96,94,97.9,92.7,99.4
dims,gemini,N0,large_face,96,96,47,49.0,39.2,58.8
dims,gpt_hi,N0,small_face,96,96,91,94.8,88.4,97.8
dims,gpt_hi,N0,large_face,96,96,7,7.3,3.6,14.3
dims,gemini,N-A,small_face,32,32,32,100.0,89.3,100.0
dims,gemini,N-A,large_face,32,32,31,96.9,84.3,99.4
dims,gemini,N-C,small_face,32,32,32,100.0,89.3,100.0
dims,gemini,N-C,large_face,32,32,32,100.0,89.3,100.0
dims,gemini,N-order,small_face,32,32,32,100.0,89.3,100.0
dims,gemini,N-order,large_face,32,32,13,40.6,25.5,57.7
dims,claude_md,N-D,small_face,32,32,23,71.9,54.6,84.4
dims,claude_md,N-D,large_face,32,32,11,34.4,20.4,51.7
dims,gemini,N-D,small_face,32,32,32,100.0,89.3,100.0
dims,gemini,N-D,large_face,32,32,32,100.0,89.3,100.0
dims,gpt_hi,N-D,small_face,32,32,20,62.5,45.3,77.1
dims,gpt_hi,N-D,large_face,32,32,14,43.8,28.2,60.7
conflict_face,claude_md,N0,small_face,96,96,49,51.0,41.2,60.8
conflict_face,claude_md,N0,large_face,96,96,49,51.0,41.2,60.8
conflict_face,gemini,N0,small_face,96,96,0,0.0,0.0,3.8
conflict_face,gemini,N0,large_face,96,96,0,0.0,0.0,3.8
conflict_face,gpt_hi,N0,small_face,96,96,0,0.0,0.0,3.8
conflict_face,gpt_hi,N0,large_face,96,96,10,10.4,5.8,18.1
conflict,claude_md,N0,small_face,96,96,0,0.0,0.0,3.8
conflict,claude_md,N0,large_face,96,96,0,0.0,0.0,3.8
conflict,gemini,N0,small_face,96,96,0,0.0,0.0,3.8
conflict,gemini,N0,large_face,96,96,0,0.0,0.0,3.8
conflict,gpt_hi,N0,small_face,96,96,0,0.0,0.0,3.8
conflict,gpt_hi,N0,large_face,96,96,0,0.0,0.0,3.8
congruent,claude_md,N0,small_face,96,96,96,100.0,96.2,100.0
congruent,claude_md,N0,large_face,96,96,96,100.0,96.2,100.0
congruent,gemini,N0,small_face,96,96,96,100.0,96.2,100.0
congruent,gemini,N0,large_face,96,96,96,100.0,96.2,100.0
congruent,gpt_hi,N0,small_face,96,96,96,100.0,96.2,100.0
congruent,gpt_hi,N0,large_face,96,96,96,100.0,96.2,100.0
congruent_face,claude_md,N0,small_face,32,32,17,53.1,36.4,69.1
congruent_face,claude_md,N0,large_face,32,32,17,53.1,36.4,69.1
congruent_face,gemini,N0,small_face,87,87,87,100.0,95.8,100.0
congruent_face,gemini,N0,large_face,86,86,86,100.0,95.7,100.0
congruent_face,gpt_hi,N0,small_face,96,96,87,90.6,83.1,95.0
congruent_face,gpt_hi,N0,large_face,96,96,95,99.0,94.3,99.8
