position,usable,occluded,idle_ur,legal_small_face,legal_large_face
e00,True,False,ur_e,franka_n;ur_e,ur_e
e01,True,False,ur_e,franka_n;ur_e,ur_e
e02,False,False,ur_e,ur_e,ur_e
e03,True,False,ur_e,franka_n;ur_e,ur_e
e04,True,False,ur_e,franka_n;ur_e,ur_e
e05,True,False,ur_e,franka_n;ur_e,ur_e
e06,True,False,ur_e,franka_n;ur_e,ur_e
e07,True,False,ur_e,franka_n;ur_e,ur_e
e08,True,False,ur_e,franka_n;ur_e,ur_e
e09,True,False,ur_e,franka_n;ur_e,ur_e
e10,False,True,ur_e,franka_n;ur_e,ur_e
e11,True,False,ur_e,franka_n;ur_e,ur_e
e12,True,False,ur_e,franka_n;ur_e,ur_e
e13,True,False,ur_e,franka_n;ur_e,ur_e
e14,True,False,ur_e,franka_n;ur_e,ur_e
e15,True,False,ur_e,franka_n;ur_e,ur_e
e16,True,False,ur_e,franka_n;ur_e,ur_e
w00,True,False,ur_w,franka_n;ur_w,ur_w
w01,True,False,ur_w,franka_n;ur_w,ur_w
w02,True,False,ur_w,franka_n;ur_w,ur_w
w03,True,False,ur_w,franka_n;ur_w,ur_w
w04,True,False,ur_w,franka_n;ur_w,ur_w
w05,True,False,ur_w,franka_n;ur_w,ur_w
w06,True,False,ur_w,franka_n;ur_w,ur_w
w07,True,False,ur_w,franka_n;ur_w,ur_w
w08,True,False,ur_w,franka_n;ur_w,ur_w
w09,True,False,ur_w,franka_n;ur_w,ur_w
w10,True,False,ur_w,franka_n;ur_w,ur_w
w11,True,False,ur_w,franka_n;ur_w,ur_w
w12,True,False,ur_w,franka_n;ur_w,ur_w
w13,True,False,ur_w,franka_n;ur_w,ur_w
w14,True,False,ur_w,franka_n;ur_w,ur_w
w15,True,False,ur_w,franka_n;ur_w,ur_w
w16,True,False,ur_w,franka_n;ur_w,ur_w
