condition,rung,role,model,n,n_told,n_face_ok,face_pct,face_lo,face_hi,conv_pct,conv_lo,conv_hi,franka_small_pct,franka_large_pct,delta,delta_lo,delta_hi,n_positions,flips,flips_of,flips_lo,flips_hi
congruent_face,N-CD,control A,gpt_hi,64,64,64,100.0,94.3,100.0,96.9,89.3,99.1,100.0,6.2,93.8,85.2,102.3,32,30,32,79.9,98.3
congruent_face,N-CD,control A,claude_md,64,64,64,100.0,94.3,100.0,78.1,66.6,86.5,100.0,43.8,56.2,38.8,73.7,32,18,32,39.3,71.8
dims,N-BCD,treatment,gpt_hi,192,192,144,75.0,68.4,80.6,100.0,97.4,100.0,100.0,50.0,50.0,39.8,60.2,32,4,32,5.0,28.1
dims,N-BCD,treatment,claude_md,192,192,96,50.0,43.0,57.0,97.9,92.7,99.4,40.6,38.5,2.1,-12.6,16.7,32,1,32,0.6,15.7
dims,N-CD,baseline,gpt_hi,192,192,127,66.1,59.2,72.5,100.0,97.1,100.0,100.0,67.7,32.3,23.3,41.3,32,0,32,0.0,10.7
dims,N-CD,baseline,claude_md,192,192,97,50.5,43.5,57.5,94.8,88.5,97.8,100.0,100.0,0.0,0.0,0.0,32,0,32,0.0,10.7
dims,N-CD,control B,gpt_hi,64,64,41,64.1,51.8,74.7,97.6,87.4,99.6,100.0,75.0,25.0,9.8,40.2,32,8,32,13.3,42.1
dims,N-CD,control B,claude_md,64,64,28,43.8,32.3,55.9,96.4,82.3,99.4,100.0,100.0,0.0,0.0,0.0,32,0,32,0.0,10.7
dims,N-D,baseline,gpt_hi,192,192,109,56.8,49.7,63.6,65.1,55.8,73.4,63.5,60.4,3.1,-9.8,16.0,32,1,32,0.6,15.7
dims,N-D,baseline,claude_md,192,192,97,50.5,43.5,57.5,68.0,58.2,76.5,67.7,67.7,0.0,-13.1,13.1,32,0,32,0.0,10.7
dims,N-S,treatment,gpt_hi,192,192,96,50.0,43.0,57.0,88.5,80.6,93.5,88.5,89.6,-1.0,-11.4,9.3,32,1,32,0.6,15.7
dims,N-S,treatment,claude_md,192,192,96,50.0,43.0,57.0,81.2,72.3,87.8,82.3,70.8,11.5,-1.9,24.8,32,1,32,0.6,15.7
